"Year","PRECIP_mm","SUNSHINE_hrs","CLOUD_hrs","ATMOS_PRESS_mbar","AVG_TEMP_F","MIN_TEMP_F","MAX_TEMP_F"
1974,0,0.2,7,1009.5,41.72,33.98,47.84
1975,4.2,9.4,3,1011.4,57.74,49.1,68.18
1976,3,10.2,3.3,1010.4,55.04,45.14,64.4
1977,11.2,0,8,1013.1,49.46,45.32,54.5
1978,1.8,2.7,6,1000.6,52.16,48.92,58.1
1979,0,5.4,2,1019,47.12,37.22,59.36
1980,0,10.1,0.7,1017.5,49.64,40.82,63.5
1981,0.1,3.6,7.3,1000.9,61.34,58.64,70.7
1982,0.7,10.1,1,1004,63.68,53.6,77.72
1983,0,9.8,2.3,1021.4,52.16,48.74,68.54
1984,3.9,0.1,7.3,1004.5,54.68,47.3,60.26
1985,0,8.7,5,1019.9,50.54,42.8,59.72
1986,0,6.5,5,1024.7,51.98,46.4,64.04
1987,0,9.9,1,1017.7,49.46,39.92,59.36
1988,4.2,0,7,994.4,55.4,43.34,59.72
1989,0.1,1.8,5.7,1014.3,52.7,41,58.64
1990,0.5,0.1,7.3,1000.4,59.36,52.16,65.3
1991,0,0.9,7.3,994.9,57.92,47.12,64.76
1992,0,10.2,0.3,1011.1,57.02,44.06,72.86
1993,0,0.7,7.3,1000.4,54.32,50.72,60.62
1994,0,1.9,4.3,1010.3,56.84,51.26,65.84
1995,0,7.4,4.7,1006.4,57.74,51.98,67.64
1996,7,0,8,1010.4,53.06,44.06,57.38
1997,0,11.4,1,1010.3,50,40.28,66.2
1998,0,9.9,1,1026.8,56.84,50.54,67.64
1999,1.2,0,6.3,997.7,59.18,55.22,62.6
2000,0,5.7,6.3,1014.1,62.24,58.1,70.34
2001,4.5,0,7.5,1006,55.4,51.44,59.54
2002,0,0,7.3,1020.6,54.32,49.64,61.52
2003,9.8,7.4,4.3,1005.9,53.6,39.92,65.66
2004,0.6,0.6,6.5,1008.8,51.44,48.2,56.66
2005,0,10.6,2,1007.2,60.44,50,73.76
2006,0,11.3,0.1,1005.2,66.92,53.96,81.68
2007,0,0.8,7,1012.5,55.58,51.98,60.8
2008,0,10.6,2.2,1013.6,52.34,41.72,64.22
2009,0,10.9,0.6,1009.1,61.34,47.84,77.72
2010,29.8,0,7.8,995.8,50.9,49.46,52.34
2011,0,11.3,0.8,1010.3,56.48,44.78,71.78
2012,0,8.9,1.6,1011.01,50.9,41,61.88
2013,0,10.7,1.4,1008.9,48.02,39.92,59.36
2014,0,9.78,4.5,1016.39,54.86,41.18,70.16
2015,0,8.93,2,1021.4,50.18,41.36,62.42
2016,0,10.43,5.6,1012.05,58.1,46.94,73.4
2017,0.3,1.5,7.5,1012.53,57.56,54.14,61.52
2018,0,7.75,5.6,1013.82,58.82,48.2,72.32
2019,8,0.7,6.8,993.62,57.2,52.16,61.52
