YEAR,PRECIP_mm,SUNSHINE_hrs,CLOUD_hrs,ATMOS_PRESS_mbar,AVG_TEMP_C,MAX_TEMP_C,MIN_TEMP_C
1974,0,0.2,7,1009.5,5.4,8.8,1.1
1975,4.2,9.4,3,1011.4,14.3,20.1,9.5
1976,3,10.2,3.3,1010.4,12.8,18,7.3
1977,11.2,0,8,1013.1,9.7,12.5,7.4
1978,1.8,2.7,6,1000.6,11.2,14.5,9.4
1979,0,5.4,2,1019,8.4,15.2,2.9
1980,0,10.1,0.7,1017.5,9.8,17.5,4.9
1981,0.1,3.6,7.3,1000.9,16.3,21.5,14.8
1982,0.7,10.1,1,1004,17.6,25.4,12
1983,0,9.8,2.3,1021.4,11.2,20.3,9.3
1984,3.9,0.1,7.3,1004.5,12.6,15.7,8.5
1985,0,8.7,5,1019.9,10.3,15.4,6
1986,0,6.5,5,1024.7,11.1,17.8,8
1987,0,9.9,1,1017.7,9.7,15.2,4.4
1988,4.2,0,7,994.4,13,15.4,6.3
1989,0.1,1.8,5.7,1014.3,11.5,14.8,5
1990,0.5,0.1,7.3,1000.4,15.2,18.5,11.2
1991,0,0.9,7.3,994.9,14.4,18.2,8.4
1992,0,10.2,0.3,1011.1,13.9,22.7,6.7
1993,0,0.7,7.3,1000.4,12.4,15.9,10.4
1994,0,1.9,4.3,1010.3,13.8,18.8,10.7
1995,0,7.4,4.7,1006.4,14.3,19.8,11.1
1996,7,0,8,1010.4,11.7,14.1,6.7
1997,0,11.4,1,1010.3,10,19,4.6
1998,0,9.9,1,1026.8,13.8,19.8,10.3
1999,1.2,0,6.3,997.7,15.1,17,12.9
2000,0,5.7,6.3,1014.1,16.8,21.3,14.5
2001,4.5,0,7.5,1006,13,15.3,10.8
2002,0,0,7.3,1020.6,12.4,16.4,9.8
2003,9.8,7.4,4.3,1005.9,12,18.7,4.4
2004,0.6,0.6,6.5,1008.8,10.8,13.7,9
2005,0,10.6,2,1007.2,15.8,23.2,10
2006,0,11.3,0.1,1005.2,19.4,27.6,12.2
2007,0,0.8,7,1012.5,13.1,16,11.1
2008,0,10.6,2.2,1013.6,11.3,17.9,5.4
2009,0,10.9,0.6,1009.1,16.3,25.4,8.8
2010,29.8,0,7.8,995.8,10.5,11.3,9.7
2011,0,11.3,0.8,1010.3,13.6,22.1,7.1
2012,0,8.9,1.6,1011.01,10.5,16.6,5
2013,0,10.7,1.4,1008.9,8.9,15.2,4.4
2014,0,9.78,4.5,1016.39,12.7,21.2,5.1
2015,0,8.93,2,1021.4,10.1,16.9,5.2
2016,0,10.43,5.6,1012.05,14.5,23,8.3
2017,0.3,1.5,7.5,1012.53,14.2,16.4,12.3
2018,0,7.75,5.6,1013.82,14.9,22.4,9
2019,8,0.7,6.8,993.62,14,16.4,11.2
